翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
ho_qteup,PUSH! UP KEY!,ЖМИ ВВЕРХ\!,PUSH! UP KEY!,PUSH! UP KEY!,
ho_qtedown,PUSH! DOWN KEY!,ЖМИ ВНИЗ\!,PUSH! DOWN KEY!,PUSH! DOWN KEY!,
ho_qteleft,PUSH! LEFT KEY!,ЖМИ ВЛЕВО\!,PUSH! LEFT KEY!,PUSH! LEFT KEY!,
ho_qteright,PUSH! RIGHT KEY!,ЖМИ ВПРАВО\!,PUSH! RIGHT KEY!,PUSH! RIGHT KEY!,
ho_qte1,SUCCESS!!!!!!!!!!!!!!!!!!!!!,УСПЕХ\!\!\!,SUCCESS!!!!!!!!!!!!!!!!!!!!!,성공!!!!!!!!!!!!!!!!!!!!!,
ho_qte2,FAILED...,ПРОВАЛ...,FAILED...,실패...,
ho499,顔アイコンクリック／C　：　相談,Чат: Выбери иконку лица или нажми C,点击头像图标／C　　　　：　商谈,얼굴 아이콘 클릭/C: 대화,
ho500,さっさと逃げようぜ！,Мы прорываемся\!,赶快逃命吧！,빨리 뜨자니까!,
,追いかけっこなんだから！,"Считай, это как салки, только смертельные\!",毕竟这是鬼抓人！,이건 술래잡기라고!,
ho501,う、うん……,Не очень-то утешает…,啊，好……,"그, 그래……",
,\C[1]（ついていっていいの、かな……？）,\C[1](И могу я ему доверять?),\C[1]（我可以跟着他走吗……？）,\C[1](따라가는 게 맞나……?),
ho502,エントランスはあっちの通路の先だ！,Выход прямо по коридору\!,那条路跑到尽头，就到门厅了！,입구는 저 통로 끝에 있어!,
,ほら、走らないと捕まるぞ！,"Что бы ты ни делал, просто беги\!",快快快，再不跑会被追上哦！,"어서, 안 뛰면 잡힐 거야!",
ho503,捕まったらミンチにされるぞ。,Если не хочешь превратиться в фарш\!,一被抓到就会变成肉泥，不会跟你客气的。,잡히면 다진 고기가 될 걸.,
,ドキドキするだろ？,"Хех\! Прямо кровь закипает, а?",怎么样，是不是很刺激？,두근거리지 않아?,
ho504,\C[1]（なんで楽しそうなんだ……？）,\C[1](Он смеётся… Этот парень вообще в себе?),\C[1]（这家伙干嘛这么兴奋……？）,\C[1](왜 즐거워 하는 거야……?),
ho505,……………,…,……………,…………,
ho506,\C[1]（ザネリ……）,\C[1](...Занелли.),\C[1]（札内利……）,\C[1](자넬리……),
