翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
trainA1,ああもう、ほんと、どうしてこんなことに……,"Бля, как всё так вышло?",唉！真是的，到底为什么会变成这样……,"아, 정말, 어쩌다 이렇게 됐지……",
trainA2,そりゃあ最悪だった。,Хуже уже быть не может...,没错，我是过得很惨。,그야 최악이긴 했지.,
,僕の人生は、生まれた時から終わってた。,"Моя жизнь закончилась, едва начавшись.",从出生开始，我的人生就没救了。,태어날 때부터 내 인생은 막장이었어.,
trainA3,けど、それでも頑張ってたのに……,А ведь я всегда так старался...,可我明明还是努力想要活下去……,그렇지만… 알면서도 열심히 노력했는데…,
trainA4,……何もかもお前のせいだ。この悪魔。,...Это всё твоя вина. Гребаный ты урод.,……都怪你。你这个罪魁祸首。恶魔。,"…이 악마 같은 자식, 전부 너 때문이야.",
trainA5,そうかな？ でも、実行犯はおまえだぜ？,"Да неужели? По-моему, ты виноват не меньше.",是吗？但实际动手的人是你自己哦。,그래? 하지만 범행을 저지른 건 너잖아?,
trainA6,どうだ？　実は内心ワクワクしてるだろ？,"Спорим, тебе это доставило, а? Не скрывай.",怎么样？其实你现在心里很兴奋吧？,어때? 사실 속으로는 꽤 두근거렸지?,
trainA6b,おまえをさんざん理不尽な目に合わせたやつへ,"Ты отомстил. Показал этим ублюдкам,",那家伙让你白受那么多罪，,너에게 매우 모질게 굴었던,
,復讐を果たせるんだから。,кто устроил тебе адскую жизнь.,这下可算有机会报仇啦！,못된 놈들에게 복수했으니까.,
trainA7,これは、おまえにとっても悪い話じゃないはずだ。,Да ладно тебе. Могло быть и хуже.,对你来说，应该也不算亏本买卖啊。,이건 너도 인정할 수밖에 없을걸.,
trainA8,どうせ元々底辺だったんだ、,"И ниже падать уже ведь некуда, да?",反正本来就没法翻身，,어차피 처음부터 밑바닥 인생이었잖아.,
,これを機にやりたいこと全部やっちまおうぜ！,"Теперь ты можешь делать всё, что когда-либо хотел!",不如趁这次机会把想干的事干个遍！,이번 기회에 하고 싶은 걸 전부 해버리자고!,
trainA9,……そうか。それもそうだね。いっそ……,"Может, мне просто забить на всё. Делать, что захочу...",……是啊，你说的也有道理。干脆……,"…그래, 그도 그렇네. 그렇다면…",
trainA10,とでも言うと思ったか,"...НЕ СКАЖУ Я ТАКОГО,",以为我会信你的鬼话吗——,"이라고 할 줄 알았냐,",
,\{バ―――カ！,\{мудила!!!,\{呆瓜！！！,\{이 멍청아~!!!,
trainA11,……やるじゃないか。,"...Хей, неплохо.",……还挺有两下子。,……제법인데.,
trainA12,けど残念だったな。おれって運動神経抜群なんだ。,"К твоему несчастью, я ОЧЕНЬ атлетичен.",但你不走运啊，我的身手可好了。,하지만 아쉽게 됐어. 운동 신경은 내가 위야.,
,なんたって「人間スコア」学内１位だからな。,У меня высший балл по физподготовке в Гимназии.,要不怎么是“人类评分”全校第一呢？,"무려 학내 ""인간 스코어"" 1위라고.",
trainA13,ところで、おまえの方は？\.\.\.,"Кстати, как там твой балл? Ах, да.\..\..\.",对了，你是第几来着？\.\.\.,그러는 넌 어떻지?\.\.\.,
,えーと……？\. 「人間スコア」ワースト……？,"Ты же у нас Мистер ""Самый Низкий Балл во Вселенной""...",我想想……？\.好像是倒数第一哦……？,"뭐였더라…?\. ""인간 스코어"" 최하위…?",
trainA14,\{\{死ね！！,"\{\{Да пошел ты, козёл!",\{\{去死吧你！！,\{\{죽어버려!!,
trainA15,はは！　まあまあ、互いの目標はともかく、,"Хах! Мы теперь в одной лодке, напарник.",哈哈！好啦好啦，暂且不提各自的打算，,"하하! 자, 자. 각자 목표가 무엇이건",
,仲良くやろうぜ運命共同体。,"Нам бы поладить, а?",咱俩今后生死与共，何不好好相处呢？,운명 공동체끼리 사이좋게 지내자고.,
trainA16,どうせもう、他に道はないんだからさ。,Так или иначе... назад дороги для нас нет.,反正也没别的路可走了嘛。,어차피 다른 방법도 없을 테니 말이야.,
trainA17,……,......,……,……,
