翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
TODO_2話,,,,,,,
pc437,,,惑星モーリアン……,Планета Моллиан...,莫莉安星……,모리안 행성이라……,
,,,どんなところだろう？,"Интересно, какая она.",是个什么样的地方啊？,대체 어떤 곳일까?,
pc438,,,飛行タクシー……,"Летающее такси, да?",计程飞篮……？,비행 택시라……,
,,,気になる。,Выглядит реально круто...,有点想坐坐看。,신기하네.,
pc439,,,誰もいないのだろうか。,Никого не вижу...,这里一个人都没有吗？,아무도 없나?,
,,,辺りを調べてみよう。,"Может, стоит осмотреться.",四处看看吧。,주변을 살펴보자.,
pc440,,,カムパネルラのやつ、,"М-да, Кампанелла...",搞不懂康帕聂拉在想什么。,"캄파넬라 그 녀석,",
,,,よくわからない。,Никак его не пойму.., ,도무지 속을 모르겠어.,
,,, , ,总之5分钟内花光所有钱就行了？, ,
,,,とりあえず５分以内に,"Похоже, мне просто нужно потратить столько денег,",,일단 소지금을 5분 내에,
,,,有り金を全部使えばいいのか？,"сколько смогу, в ближайшие пять минут.",,전부 써버리면 되려나?,
pc441,,,やっと終わった。,Наконец-то всё закончилось.,总算结束了。,겨우 끝났네.,
,,,銅像を見てみるか。,"Может, стоит проверить ту статую.",看看雕像吧。,동상을 확인해 볼까?,
pc442,,,気になるロゴがある。,"Тот символ выглядел странно...",好在意那个标志。,"저 로고, 신경 쓰이네.",
,,,R-ticketで銅像をハッキングしよう。,"Может, я смогу взломать статую",用R-ticket骇入雕像吧。,R-ticket으로 동상을 해킹해 보자.,
,,,,с помощью R-тикета.,,,
pc443,,,誰からのメッセージだろう？,Кто прислал мне то сообщение...?,是谁发来的消息啊？,누가 보낸 메시지지?,
,,,とりあえず考えてみよう。,Хм... Мне нужно немного времени подумать.,总之先动动脑筋好了。,일단 내용을 잘 생각해 보자.,
pc444,,,ムーヴェーターを調べよう。,"транспортёр? Может, стоит взглянуть.",仔细看看移形升降梯吧。,공간 엘리베이터를 살펴보자.,
pc445,,,ゼロデイからのメッセージ……？,А? Сообщение от «Нулевого Дня»...?,“零日”发来的消息……？,Zero Day에서 메시지를...?,
,,,気になる。,Чего они хотят?,好奇。,무슨 내용이지?,
pc446,,,ムーヴェーターに乗れるように,"Думаю, транспортёр теперь должен быть",现在应该能坐那台移形升降梯了。,이제 공간 엘리베이터에,
,,,なったはずだ。,в рабочем состоянии.,,탈 수 있을 거야.,
pc447,,,ここは……？,Что это за место...?,这里是……？,여기는 어디지……?,
pc417,,,スニファーに食べさせる金属を探そう。,"Мне нужно найти металл,",去找金属的东西给小闻吃吧。,스니퍼가 먹을 금속을 찾아보자.,
,,,プラチナと、タングステン……？,чтобы покормить Сниффера.,它吃铂金，还有钨……？,"백금이랑, 텅스텐이랬지……?",
,,,,Лучше платину и вольфрам...,,,
pc448,,,R-ticketからスニファーを,"Может, попробовать использовать R-тикет,",试试用R-ticket骇入小闻吧。,R-ticket을 사용해,
,,,ハッキングしてみよう。,чтобы взломать Сниффера.,,스니퍼를 해킹해 보자.,
pc449,,,これで終わりか？,Я... всё?,这样就好了吗？,다 끝났나?,
pc418,,,ムーヴェーターへ向かおう。,Пора идти к транспортёру.,回到升降梯那里去吧。,공간 엘리베이터로 돌아가자.,
,,,来た道を戻れば乗れるはずだ。,"Вернусь тем же путём, каким пришёл.",沿着来时的路返回就好。,왔던 길로 돌아가면 될 거야.,
pc450,,,Wiはどこだろう？,А где вообще Ви?,Wi在哪里啊？,Wi는 어디 있지?,
pc451,,,暖炉の中だって？,В камин? Серьёзно?!,啊？进壁炉？,난로 안?,
pc520,,,Wiから仕事の依頼だ……,Запрос на взлом от Ви...,来自Wi的黑客任务委托……,Wi에게서 해킹 의뢰가 들어왔네……,
pc521,,,R-ticketから侵入しよう。,Мне нужно взломать систему с помощью R-тикета.,用R-ticket入侵吧。,R-ticket으로 침입하자.,
,,,……真面目にやらないとな。,Я не могу сейчас облажаться...,……必须认真对待。,…신중하게 진행해야 돼.,
pc452,,,報告に行こう。,Надо бы доложить.,去报告吧。,보고하러 가자.,
,,,Wiの居場所は……,"Так, посмотрим... Местоположение Ви",Wi人是在……,Wi가 있는 장소는……,
,,,メッセージに書いてあったな。,должно быть в наших сообщениях.,聊天记录里应该有。,메시지에 적혀 있을 거야.,
pc453,,,Wiについていこう。,"Похоже, мне стоит пойти за Ви.",跟着Wi走吧。,Wi를 따라가자.,
,,,……カムパネルラの様子も気になるし。,"Надеюсь только, с Кампанеллой всё в порядке...",……也有点在意康帕聂拉怎么样了。,……캄파넬라가 어떻게 지내는지도 궁금하니까.,
pc454,,,……,...,……,……,
pc455,,,Wiからの依頼をこなそう。,"Пока что мне просто нужно делать то, что говорит Ви.",完成Wi的委托吧。,Wi의 의뢰를 완료하자.,
pc456,,,……自由時間だ。,У меня теперь есть немного свободного времени.,……自由时间。,……자유 시간이다.,
pc457,,,はわわ……,О нет...,啊啊啊……,으아아……,
pc516,,,……仕事だ。,Время работать.,……来干活。,……일이야.,
pc_todo_2_1,,,かあさんに,Мама мне звонит...,跟妈妈说话,엄마와,
,,,はなしかける,"Надо бы узнать, чего она хочет.",,이야기하자,
pc_todo_2_2,,,仕事も終わったし,"Теперь, когда я закончил с работой,",工作也做完了，,"일도 끝났으니, 기분",
,,,気分転換に散歩しよう……,"может, прогуляюсь...",出去走走，转换心情吧……,전환 겸 산책이나 하자…,
pc_todo_2_3,,,PCをWiの部屋に,Я оставил свой ПК в комнате Ви.,我得回Wi的房间拿电脑。,Wi의 방으로 돌아가,
,,,取りに戻らないと。,Мне нужно его вернуть...,,PC를 가지고 와야 해.,
pc_todo_2_4,,,特訓……？,"Частный урок от Юми, да...?",特训……？,특훈이라니……?,
pc_todo_2_5,,,旗を手に入れよう,Время захватить тот флаг.,去拿旗子吧。,깃발을 획득하자.,
pc_todo_2_6,,,……Wiに説明を要求しよう,Ви придётся кое-что объяснить...,……让Wi解释一下吧。,……Wi의 설명을 들어야겠어.,
pc544,,,ケイト、何かあったのか？,С Кейт что-то случилось?,凯特出什么事了吗？,케이트에게 무슨 일이 있었나?,
pc545,,,ケイトに話しかけよう。,Мне нужно поговорить с Кейт.,跟凯特说话吧。,이야기를 나눠 보자.,
pc546,,,とにかくドリームダストを,Мне нужно достать немного Пыли Грёз,总之，得帮她拿梦幻粉……,일단 드림 더스트부터,
,,,渡さないと……。,для неё как можно скорее...,,줘야겠어……,
pc569,,,ポッドの中に入って,"Похоже, пришло время для",进入浸没舱，完全浸没吧……,포트 안으로 들어가,
,,,フルダイブしよう……。,ещё одного полного погружения...,,풀 다이브해 보자……,
pc570,,,旗を手に入れよう。,Время захватить тот флаг.,去拿旗子吧。,깃발을 집자.,
,,,（言うことを聞かないと,"(Если я не сделаю, что они говорят,",（要是不听她的话，,(순순히 따르지 않으면,
,,,　殺されそうだ……）,"они, вероятно, убьют меня.)",感觉会被杀掉……）,죽을 거야……),
pc571,,,Wiからの依頼をこなそう。,Мне нужно выполнить запрос Ви.,完成Wi的委托吧。,Wi의 의뢰를 완료하자.,
pc547,,,仕事を済ませよう。,Закончить работу.,完成工作吧。,일을 끝내자.,
pc568,,,目標データを手に入れた。,Я получил нужные данные.,拿到目标数据了。,목표 데이터를 찾았다.,
,,,Wiの部屋まで報告に行こう。,Мне следует вернуться с отчётом в комнату Ви.,去Wi房间报告吧。,Wi의 방으로 가서 보고하자.,
pc548,,,ドクの診療所に向かおう。,Мне нужно в клинику Дока.,去诊所找大夫吧。,독의 진료소로 향하자.,
,,,公園の右側の道から来いって,Он сказал мне идти по тропинке,说是让我从公园右边的路过去。,공원 오른쪽 길로,
,,,言ってたな。,справа от парка.,,오라고 했었지?,
pc572,,,ドクと話そう。,Мне нужно поговорить с Доком.,跟大夫聊聊吧。,독과 이야기하자.,
pc566,,,Wiとアジトに戻ろう。,Пора возвращаться в убежище с Ви.,跟Wi一起回基地吧。,Wi와 함께 아지트로 돌아가자.,
pc567,,,秘密の抜け道……？,Тайный проход?,秘密通道……？,비밀 통로……?,
,,,橋まで行けばいいのか？,"Похоже, мне надо на мост.",总之，先到桥上去？,다리까지 가면 된다고 했지?,
pc549,,,少し周りを見てみよう。,Надо бы осмотреться.,在附近稍微逛逛吧。,주변을 조금 둘러보자.,
pc550,,,公園の右側から,"Док хочет, чтобы я зашёл в его клинику",走公园右边的路，,공원 오른쪽에 있는,
,,,ドクの診療所に行こう。,в восточной части парка.,去诊所找大夫吧。,독의 진료소로 향하자.,
pc588,,,イデアル・ハックの,Так... Я справлюсь. Мне просто нужно,启动“理想骇解”吧。,아이디얼 해킹 앱을 실행하자.,
,,,アプリを起動しよう。,запустить Идеальный Взлом.,,,
pc589,,,寄生しているマークを削除しよう。,Мне нужно как-то избавиться от Марка.,删光寄生在内的“马克”吧。,Wi에게 기생한 마크를 제거하자.,
,,,ゼロデイを救うために。,От этого зависит судьба «Нулевого Дня».,为了零日的未来。,Zero Day를 구하는 거야.,
pc590,,,パーティーを楽しもう。,"Я не очень-то люблю вечеринки, но, может,",尽情享受派对吧。,파티를 즐기자.,
,,,みんなと話してみるか……。,стоит попробовать немного пообщаться...,去跟每个人都聊聊……？,모두와 대화해 볼까……?,
pc592,,,嘘だろ？,Нет... Этого не может быть!,不会的……不会的。,거짓말이지……?,
,,,とにかく、アジトに,Мне срочно нужно вернуться в убежище.,……不论如何，,지금은 아지트로,
,,,戻らなきゃ…,,都得先回基地……,돌아가야 해……,
pc593,,,ハッチから、,"Я могу использовать здешний люк, чтобы",进入暗门，,해치를 열고,
,,,Wiの隠れ家へ向かおう。,попасть в тайное убежище Ви.,到Wi的藏身处去吧。,Wi의 은신처로 향하자.,
pc594,,,あの扉は……？,"Та дверь... Интересно, куда она ведёт.",藏身处的门……要怎么进去？,저 문은 뭐지……?,
pc595,,,あのPCは、Wiの……？,Это компьютер Ви...?,那台电脑，是Wi的……？,저 PC는 Wi의……?,
pc596,,,ムーヴェーターに向かおう。,Нам нужно спешить к транспортёру.,去找移形升降梯吧。,공간 엘리베이터로 향하자.,
pc597,,,あいつらに見つからないよう,Они ищут нас. Нам нужно быть,继续前进，,놈들에게 들키지 않게,
,,,進まないと……。,"осторожными, чтобы не попасться.",但不能被他们发现……,조심조심 움직이자……,
pc598,,,パイプを回して、,"Мне снова нужно пробираться по трубам,",旋转管子，,파이프를 돌려,
,,,梯子への道を作ろう。,чтобы добраться до той лестницы.,铺出通往梯子的路吧。,사다리로 가는 길을 만들자.,
pc599,,,Wiを探さなきゃ……,"Держись, Ви...",我得去找Wi……,Wi를 찾아야 해……,
pc606,,,先に進もう。,Ви должен быть где-то впереди.,前进吧。,안쪽으로 나아가자.,
pc607,,,Wiを助けなきゃ！,Мы должны спасти Ви!,得快去帮Wi！,Wi를 구하자!,
pc608,,,ケイトは……,Кейт...,凯特她……死了吗？,케이트는……,
,,,死んだのだろうか？,Она тоже мертва?,,죽었을까?,
pc609,,,診療所のあたりを,Мне нужно всё проверить возле,在诊所一带仔细调查吧。,진료소 주변을,
,,,調べにいこう。,клиники Дока.,,조사해 보자.,
pc668,,,……先に進もう。,...Надо идти дальше.,……往前走吧。,……안쪽으로 나아가자.,
pc669,,,逃げないと……！,Я должен сбежать!,我得快逃……！,도망쳐야 해……!,
pc670,,,Wiは……死んだ。,Ви... мёртв.,Wi……死了。,Wi는…… 죽었어.,
,,,ラブは……？,А что насчёт Лав?,那这家伙呢……？,러브는……?,
pc671,,,先へ進もう。,Мне нужно двигаться дальше.,前进吧。,계속 나아가자.,
pc672,,,マークに近づこう。,Мне следует подойти к Марку.,到马克旁边去吧。,마크에게 접근하자.,
,,,僕が、やるんだ。,Теперь всё зависит от меня.,现在轮到我了。,그게 내가 할 일이야.,
pc673,,,ここにあるものを調べよう。,Надо бы осмотреться.,逐个查看这里的东西吧。,이곳 주변을 조사하자.,
pc674,,,みんな……？,...Ребята?,为什么……大家……？,너희들……?,
pc675,,,…………。,...,…………,…………,
pc676,,,カムパネルラの言うことを聞こう。,Мне стоит выслушать Кампанеллу.,先听康帕聂拉的吧。,캄파넬라 말대로 하자.,
pc677,,,モーリィは、ここで眠っている。,Здесь спит Молли.,莫莉就沉睡于此。,몰리는 여기 잠들어 있어.,
pc678,,,銀河鉄道に戻ろう。,Мне нужно отправиться на Галактическую Железную Дорогу.,返回银河铁道吧。,은하철도로 돌아가자.,
,,,,,,,
通知_2話,,,,,,,
pc378,,,新着メッセージがあります,Получены новые сообщения.,您有新的消息,새로운 메시지가 있습니다.,
,,,- メッセージアプリ,- Мессенджер,- 消息软件,- 메시지 앱,
,,,- ◾︎◾︎◾︎,- ◾︎◾︎◾,- ◾︎◾︎◾︎,- ◾︎◾︎◾︎,
pc379,,,メッセージ - Wi「よう、”Boyhood”。」,"Сбщ - Ви: ""Привет...""",消息 - Wi：你好啊，“Boyhood”。,"Wi의 메시지 ""이봐, ”Boyhood”.""",
pc383,,,メッセージ - Wi「まあ落ち着け。……」,"Сбщ - Ви: ""Тшш. Просто...""",消息 - Wi：哎，你先别激动。……,"Wi의 메시지 ""이봐, 진정해……""",
pc384,,,メッセージ - Wi「なんだ、知らないのか？……」,"Сбщ - Ви: ""Что, ОН?..""",消息 - Wi：什么，你原来不知道？……,"Wi의 메시지 ""뭐야, 몰랐어?……""",
pc385,,,メッセージ - Wi - 画像を受信しました,Сбщ - Ви: Получено изображение.,消息 - Wi - [图片],"Wi의 메시지 ""영상을 보냈습니다""",
pc386,,,メッセージ - Wi「まあでも。……」,"Сбщ - Ви: ""А, ну ладно...""",消息 - Wi：不过嘛。……,"Wi의 메시지 ""뭐, 그래도……""",
pc413,,,メッセージ - Wi「合格だ。ちょっと待ってろ。……」,"Сбщ - Ви: ""Отлично сработано...""",消息 - Wi：你通过了。在那等着。……,"Wi의 메시지 ""합격이야. 잠시 대기해……""",
pc414,,,新着メッセージがあります,Получены новые сообщения.,您有新的消息,새로운 메시지가 있습니다.,
,,,- メッセージアプリ,- Мессенджер,- 消息软件,- 메시지 앱,
,,,- ■□■■,- ■□■■,- ■□■■,- ■□■■,
pc415,,,メッセージ - Wi「暖炉の中に入れ。」,"Сбщ - Ви: ""Лезь в...""",消息 - Wi：你钻到壁炉里去。,"Wi의 메시지 ""난로 안으로 들어가.""",
pc425,,,メッセージ - Wi「仕事について」,"Сбщ - Ви: ""Вот...""",消息 - Wi：关于你的工作,"Wi의 메시지 ""유의 사항""",
pc458,,,メッセージ - Wi「今日の仕事だ。…」,"Сбщ - Ви: ""Сегодняшнее задание...""",消息 - Wi：你今天的活。。…,"Wi의 메시지 ""오늘 할 일이야…""",
pc463,,,メッセージ - ケイト「ねー　あそぼ！…」,"Сбщ - Кейт: ""Мне скучно...""",消息 - 凯特：嗳～你来陪……,"케이트의 메시지 ""저기, 놀자!…""",
pc525,,,メッセージ - ケイト「やんだ」,"Сбщ - Кейт ""можешь мне помочь""",消息 - 凯特：没劲,"케이트의 메시지 ""시러""",
pc551,,,メッセージ - Wi「今日の依頼だ。…」,"Сбщ - Ви: ""Сегодняшнее задание...""",消息 - Wi：今天的活儿。…,"Wi의 메시지 ""오늘 할 의뢰야…""",
pc555,,,メッセージ - ユミ「いつもの場所…」,"Сбщ - Юми: ""Приходи в...""",消息 - 由美：老地方……,"유미의 메시지 ""늘 있던 곳으로…""",
pc560,,,メッセージ - ドク「ちょっと事情があって、…」,"Сбщ - Док: ""Там есть...""",消息 - 大夫：碰上点麻烦事…,"독의 메시지 ""사정이 좀 생겼다…""",
pc573,,,メッセージ - ドク「今日の件だが……」,"Сбщ - Док: ""Так, насчёт той услуги...""",消息 - 大夫：我今天要给Wi做维保…,"독의 메시지 ""오늘 부탁할 건 말이다만…""",
pc573-2,,,メッセージ - ラビ「待たせたな！！…」,"Сбщ - Раби - ""Звучит...""",消息 - 拉比：等很久了吧！！…,"라비의 메시지 ""기다렸지!!! ...""",
イベント_2話,,,,,,,
pc387,◾︎◾︎◾︎,**:**,あり得ないと思うけど、,"На тот маловероятный случай, если",虽然觉得应该不至于，,"혹시나 해서 하는 말인데,",
,,,もし万が一にも,какой-нибудь паршивый хакеришка,但是以防某些,만에 하나라도 이런,
,,,この簡単なプロテクトを,"облажается по полной, просто",三流黑客本事不精，,간단한 프로텍트를,
,,,乗り越えられなかった,пытаясь отключить наш,菜到连这么白痴的,뚫지 못한 한심한 3류,
,,,ミジメな三流ハッカーが,"простенький брандмауэр,",防卫机制都破解不了……,해커가 나타났을 때를,
,,,いた時のために,мы установили,算了算了，,"대비해 ""백도어""를",
,,,「バックドア」を,"защиту от сбоев. Считай,",发发善心留个后门好了。,따로 설치해 뒀지.,
,,,設置しておいたよ。,это как чёрный ход., ,-,
,,, , ,, ,
,,,R-code：Cicada 3301,R-код: Цикада 3301,R-code：Cicada 3301,R-code: Cicada 3301,
,,, , , , ,
,,,これを解読してみな。,"Удачи тебе, салага.",真打不开就解读这个试试。,이걸 해독해 봐.,
,,, , , , ,
,,,　　　　　ーゼロデイ,- «Нулевой День»,——零日,- Zero Day,
pc388,,,ゼロデイ……！？,ТОТ САМЫЙ «Нулевой День»?!,零日……？！,Zero Day……?!,
,,,向こうから接触してくるなんて……,Поверить не могу...,居然主动来接触我……,저쪽에서 직접 접촉하다니……,
pc389,,,お前はドラッグもやれない童貞なのか？,"Ты кажешься слишком невинным,",天哪这是什么纯洁小白？叫你拖又没让你脱,"너, 드래그도 할 줄 모르는 촌뜨기냐?",
,,,,блондинчик...,,,
pc390,,,こういうのはとにかくいじくり回してみるもんだろ？,Попробуй хоть раз поразвлечься.,看了暗示还不懂吗能点的都试试啊,이런 게 뜨면 일단 건드려 봐야 하는 거 아냐?,
pc391,,,ドラッグ……？　薬のこと？,...Поразвлечься?,什么脱……？拖什么？,드래그……? 약 같은 건가?,
,,,いじくり回すってどういうことだ？,С... чем?,暗示是什么意思？,"일단 건드려 보라니, 뭘?",
pc392,,,……あ。これ、もしかして動かせるのか……？,"О! Кажется, я могу это перетащить.",……啊。这个东西难道能拖动的……？,"……아, 이거, 설마 움직이나……?",
pc393,,,やーい！,ХА!,哈哈！这么明显的坑都能踩到，,이야~!,
,,,まんまと罠に引っかかりやがった。,Ты попал прямо в нашу ловушку!,你是什么品种的呆子啊？,제대로 낚였네.,
,,, , , , ,
,,,俺たちが「\C[2]ゼロ\C[0]デイ」だってこと、,"Знаешь ли ты, с кем имеешь дело?",小菜鸟，你不会到现在还不知道,"우리가 ""\C[2]Zero\C[0] Day"" 라는 걸",
,,,知らないみたいだな？,Мы — \C[2]«Нулевой День»\C[0].,我们的名头叫\C[2]零\C[0]日吧？,잊어버린 모양이지?,
pc394,,,『ゼロ』だよ、ゼロ。0！　まだ気付かないのか？,«НУЛЕВОЙ День». Как 0. Смекаешь?,“零”啊，“零”！0！还反应不过来？,"Zero라고, Zero, 0 말이야! 아직도 모르겠어?",
pc395,,,出直してこい！,"Постарайся получше, салага!",你读过书没有？,처음부터 다시 해!,
pc436,,,くそ、勝手に閉じた！　繋ぎなおすか……,...Мне нужно переподключиться.,可恶，自己关掉了！重新连上吧……,"젠장, 접속이 끊겼어! 다시 연결해 보자……",
pc396,◾︎◾︎◾︎,**:**,おめでとう。,Неплохо...,恭喜你啊。,축하해.,
,,,ムーヴェータードアの,Раз уж тебе удалось,你总算是打开这架,공간 엘리베이터,
,,,ロックを解除した。,открыть дверь к,移形升降梯的门了。,잠금 장치를 풀었어.,
,,,目的地はこちらで,"транспортёру, ты принят.",目的地我这边,목적지는 이쪽으로,
,,,設定済だ。,Добро пожаловать в Ульевы,已经帮你定好了。,설정해 뒀지.,
,,, ,"Просторы, и удачи.", , ,
