翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
train2_1_1,……びっくりした。なんの音？,Что это был за шум?,……吓我一大跳。刚才什么动静？,"……깜짝 놀랐네, 무슨 소리지?",
train2_1_2,……なにこれ？,...А?,……这什么啊？,……이건 뭐지?,
train2_1_3,おはようジョバンニ！,"Утречка, Джо!",早啊，乔班尼！,"조반니, 좋은 아침!",
,古代の寝台はどうだった？ 解放感あっただろ？,Как тебе спалось на такой старомодной кровати?,古代的床铺怎么样？睡起来很惬意吧？,옛 침대는 어때? 해방감을 느끼지 않았어?,
train2_1_4,棺桶みたいで快適だったよ。,Как в гробу... но в хорошем смысле. Уютно.,跟棺材一样，躺着很舒服。,관 같아서 쾌적하던걸.,
,監視装置がないのも久しぶりだったし。,"К тому же, было приятно, что за мной хоть раз",我也很久没睡过没监控的床了。,감시 장치가 없는 것도 오랜만이었고.,
, ,никто не следил.,,,
train2_1_5,昨日のことがなければ、,"Если бы в последнее время всё не было так хреново,",要是没有昨天那档事，,어제 일만 없었다면,
,もっと快眠だったんだけど。,"я бы, наверное, спал намного лучше...",这觉还能睡得更舒服点。,더 푹 잘 수 있었겠지만.,
＜母について＞,,,,,
train2_1_6,ずいぶんご機嫌だね。,"Ты сегодня, похоже, в хорошем настроении.",你心情很好嘛。,기분 좋아 보이네.,
,昨日のアレには凹んでたのに。,"Особенно после того, как ты вчера скис.",明明昨天被那东西搞得那么颓。,어제는 그걸 보고 잔뜩 쫄았으면서.,
train2_1_7,アレ？　あの「子供だまし」か。,"А, ты про ту фальшивую ловушку с мамочкой?",什么东西？哦，那个“骗小孩的玩意”？,"그거라니? 아, ""눈속임"" 말이구나.",
,焦ったけど、引きずるほどじゃないさ。,"Признаюсь, я забеспокоился... всего на секунду.",我一时是有点着急，但很快就过去了。,"당황했지만, 담아둘 정도는 아니야.",
train2_1_8,おれは、おまえがカレルレンの罠に引っ掛からなくて安心したよ！,"Но я впечатлён, что ты не повёлся.",看到你没中卡列伦的奸计我就放心啦！,네가 카렐렌의 함정에 걸려들지 않아서 마음이 놓였어!,
,その調子で切り替えていこうぜ！,"Да ладно... Смысла раскисать нет, так ведь?",继续保持这样，转换心态吧！,이 기세로 바꿔 나가자고!,
train2_1_9,おめでとう！,"Гордись, Джо! Ты попал в список на зачистку",还要恭喜你啊，乔班尼！,축하해!,
,これで名実ともに「駆除対象」デビューだな！,"вместе с остальными преступниками и прочими",往后你就是名副其实的“驱除对象”喽！,"이걸로 ""제거 대상""에 확실하게 데뷔했잖아!",
,,ненужными!,,,
train2_1_9_1,……最悪だ。,"Блин, хреново это всё...",……糟糕透了。,……최악이네.,
train2_1_9_2,どうして？　いい機会じゃないか。,Почему? Разве это не отличная возможность?,为什么？这不是个好机会吗？,어째서? 좋은 기회잖아.,
,逆にすっきりしたんじゃないか？,Это может быть твой главный шанс отомстить.,你其实心里畅快多了吧？,오히려 홀가분해진 거 아니야?,
train2_1_9_3,どっちにしろ、おまえが生き延びるためには、,"Если хочешь жить, тебе по-любому придётся убрать",反正不论怎样，只要你想活下去，,어느 쪽이건 네가 살아남으려면,
,カレルレンをなんとかするしかないんだ。,Кареллен. Тут без вариантов.,就必须想办法解决卡列伦。,어떻게든 카렐렌을 처리해야 하니까.,
,母さんを死に追いやったカレルレンをさ。,Считай это расплатой... за твою мать.,想想看，它可是害死你妈妈的罪魁祸首啊。,어머니를 죽음으로 내몬 카렐렌을 말이야.,
train2_1_9_4,……それはそうだけど。,"Да... Пожалуй, ты прав.",……这个倒是没错。,그건 그렇지만……,
train2_1_10,……これからどうしよう。,И что мы теперь будем делать...?,……今后我该怎么办啊。,……앞으로 어쩌지?,
train2_1_11,仲間を探すといいんじゃないか？,Всё просто! Нам лишь нужно найти силу в количестве.,给自己找点同伙不就好了？,동료를 찾는 건 어때?,
train2_1_12,「駆除対象」仲間だよ。わかるだろ？,Так что мы поищем других ненужных.,就是同为“驱除对象”的人。,"같은 ""제거 대상"" 동료 말이야. 알지?",
,この星系のどこかにいる――,"Нужно только выяснить, где они прячутся.",你知道吧？他们就躲在这个星系里。,이 성계 어딘가에 존재하는…,
train2_1_13,「許可外子」……,Ты имеешь в виду... «нелегальных рожениц»?,“未许可儿童”……,허가 외 아이……,
train2_1_14,これから向かう惑星に、ちょうどいいやつらがいる。,"Ага. И на Моллиане как раз есть люди,",我们接下来要去的星球，正好有一帮那样的家伙。,곧 도착할 행성에 딱 괜찮은 녀석들이 있어.,
,,которые могут помочь.,,,
train2_1_15,ハッカー集団「ゼロデイ」。,Легендарная хакерская группа «Нулевой День».,黑客组织“零日”。,"해커 집단, ""Zero Day"" 말이야.",
,同業なら、名前くらい聞いたことあるだろ？,"Уверен, ты о них слышал, да?",既然是同行，你至少听过他们的名头吧？,"그쪽 사람이니, 이름 정도는 들어봤겠지?",
＜ゼロデイ＞,,,,,
train2_1_16,見ろよ。展望車のパンフレットに紛れて、,"Зацени. Как только мы залезли в поезд, я нашёл",你看，观景车的宣传册里,봐. 전망칸 전단지 사이에,
,こんなものがあったんだ。,вот это.,夹了这种东西。,이런 게 섞여 있었어.,
train2_1_17,どうやら、,"Похоже, мы не единственные, кто",看来银河铁道的乘客，,아무래도 은하 철도를 이용하는,
,銀河鉄道の乗客はおれたちだけじゃないらしい。,путешествовал по Галактической Железной Дороге...,不止咱们俩啊。,승객은 우리만 있는 게 아닌 모양이야.,
train2_1_18,最近、これを使って誰かが移動したってことか？,"Хочешь сказать, кто-то ещё был на борту прямо",这是说，最近有人用这个移动过？,누가 최근에 이걸 타고 다녔단 말이야?,
,,перед нами?,,,
train2_1_19,そうだな。しかも、,"Похоже на то. Но кто бы это ни был, он подчистую стёр",是啊。而且这个人，,"맞아, 그리고 말인데,",
,その「誰か」はアクセスログや移動記録を完璧に消している。,журналы доступа...,把访问和移动的记录都删得一干二净。,그 사람은 접속 및 이동 기록을 완벽히 지웠어.,
,　,　,　,　,
train2_1_19--2,そうだな。しかも、,"Похоже на то. Но кто бы это ни был, он подчистую стёр",是啊。而且这个人，,"맞아, 그리고 말인데,",
,その「誰か」はアクセスログや移動記録を完璧に消している。,"журналы доступа... Так чисто, что даже такой дока,",把访问和移动的记录都删得一干二净。,그 사람은 접속 및 이동 기록을 완벽히 지웠어.,
,おまえでも見逃すくらいに。,"как ты, ничего не заметил.",完美到连你都会看漏。,너마저도 찾지 못하게 말이야.,
train2_1_20,抜け目ないハッカーだよ。,Это работа хакера. Лучшего из лучших.,真是个滴水不漏的黑客。,용의주도한 해커라는 말이지.,
train2_1_21,ゼロデイ……,"Должно быть, это - «Нулевой День».",零日……,Zero Day라……,
train2_1_22,ここだけの話だが……,"Только между нами... я слышал, что",这事你别外传……,우리끼리 하는 이야기지만……,
,実は、ゼロデイは「許可外子」の集団だ。,все участники «Нулевого Дня» — «нелегалы».,其实，零日是“未许可儿童”组成的团伙。,"Zero Day는 사실 ""허가 외 아이""가 모인 집단이야.",
train2_1_23,10年も前から銀河鉄道を使って、各地から,Лет десять назад они все запрыгнули на,早在十年前，他们就利用银河铁道，,10여년 전부터 은하철도를 통해 각지에서,
,同胞を惑星「モーリアン」に集めてる。,Галактическую Железную Дорогу и рванули на Моллиан.,从各地把同胞运去莫莉安星了。,"동포를 ""모리안""으로 모으고 있어.",
train2_1_24,仲間にするなら、境遇が同じで、利害の一致してるやつがいい。,"Мы сейчас в той же ситуации, что и они тогда,",既然要招兵买马，最好是境遇相同、利害关系一致。,동료로 삼을 거라면 같은 처지에 처지가 같은 편이 좋지.,
,裏切られる心配がないからな！,"так что, полагаю, мы на этой почве сблизимся.",毕竟这样就不用担心同伴反水了啊！,배신당할 걱정이 없으니 말이야!,
,,Наверное.,,,
