翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
▼2-01a　DAY2／銀河鉄道車内,,,,,
2ndho1,……びっくりした。なんの音？,Ого! Что это был за шум?,……吓我一大跳。刚才什么动静？,"……깜짝 놀랐네, 무슨 소리지?",
2ndho2,……なにこれ？,...А?,……这什么啊？,……이건 뭐지?,
2ndho3,おはようジョバンニ！,"Утречка, Джо!",早啊，乔班尼！,"조반니, 좋은 아침!",
,古代の寝台はどうだった？　解放感あっただろ？,Ну как тебе спалось на старомодной кровати?,古代的床铺怎么样？睡起来很惬意吧？,옛 침대는 어때? 해방감을 느끼지 않았어?,
2ndho4,棺桶みたいで快適だったよ。,Как в гробу... но в хорошем смысле. Уютно.,跟棺材一样，躺着很舒服。,관 같아서 쾌적하던걸.,
,監視装置がないのも久しぶりだったし。,"К тому же, было приятно, что за мной хоть раз",我也很久没睡过没监控的床了。,감시 장치가 없는 것도 오랜만이었고.,
,,никто не следил.,,,
2ndho5,昨日のことがなければ、,"Если бы в последнее время всё не было так хреново,",要是没有昨天那档事，,어제 일만 없었다면,
,もっと快眠だったんだけど。,"я бы, наверное, спал намного лучше...",这觉还能睡得更舒服点。,더 푹 잘 수 있었겠지만.,
▼2-01b　DAY2／銀河鉄道車内,,,,,
2ndho10,ずいぶんご機嫌だね。,"Похоже, ты сегодня в хорошем настроении.",你心情很好嘛。,기분 좋아 보이네.,
,昨日のアレには凹んでたのに。,"Особенно после того, как ты вчера скис.",明明昨天被那东西搞得那么颓。,어제는 그걸 보고 잔뜩 쫄았으면서.,
2ndho11,アレ？　あの「子供だまし」か。,"А, ты про ту ловушку с фальшивой мамочкой?",什么东西？哦，那个“骗小孩的玩意”？,"그거라니? 아, ""눈속임"" 말이구나.",
,焦ったけど、引きずるほどじゃないさ。,"Признаюсь, я заволновался... всего на секунду.",我一时是有点着急，但很快就过去了。,"당황했지만, 담아둘 정도는 아니야.",
2ndho12,おれは、おまえがカレルレンの罠に引っ掛からなくて安心したよ！,"Но я впечатлён, что ты не повёлся.",看到你没中卡列伦的奸计我就放心啦！,네가 카렐렌의 함정에 걸려들지 않아서 마음이 놓였어!,
,その調子で切り替えていこうぜ！,"Да ладно... Смысла раскисать нет, так ведь?",继续保持这样，转换心态吧！,이 기세로 바꿔 나가자고!,
2ndho13,おめでとう！,"Гордись, Джо! Ты попал в список на зачистку",还要恭喜你啊，乔班尼！,축하해!,
,これで名実ともに「駆除対象」デビューだな！,"вместе с остальными преступниками и прочими",往后你就是名副其实的“驱除对象”喽！,"이걸로 ""제거 대상""에 확실하게 데뷔했잖아!",
,,ненужными!,,,
2ndho14,……これからどうしよう。,И что мы теперь будем делать...?,……今后我该怎么办啊。,……앞으로 어쩌지?,
2ndho15,仲間を探すといいんじゃないか？,Всё просто! Нам лишь нужно найти силу в количестве.,给自己找点同伙不就好了？,동료를 찾는 건 어때?,
2ndho16,「駆除対象」仲間だよ。わかるだろ？,Так что мы поищем других ненужных.,就是同为“驱除对象”的人。,"같은 ""제거 대상"" 동료 말이야. 알지?",
,この星系のどこかにいる――,"Нужно только выяснить, где они прячутся.",你知道吧？他们就躲在这个星系里。,이 성계 어딘가에 존재하는…,
2ndho17,「許可外子」……,Ты имеешь в виду... «неавторизованно-рождённых»?,“未许可儿童”……,허가 외 아이……,
2ndho18,これから向かう惑星に、ちょうどいいやつらがいる。,"Ага. И на Моллиане как раз есть люди,",我们接下来要去的星球，正好有一帮那样的家伙。,곧 도착할 행성에 딱 괜찮은 녀석들이 있어.,
,,которые могут помочь.,,,
2ndho19,ハッカー集団「ゼロデイ」。,"Легендарная хакерская группа «Нулевой День».",黑客组织“零日”。,"해커 집단, ""Zero Day"" 말이야.",
,同業なら、名前くらい聞いたことあるだろ？,"Уверен, ты о них слышал, да?",既然是同行，你至少听过他们的名头吧？,"그쪽 사람이니, 이름 정도는 들어봤겠지?",
2ndho21-1,見ろよ。展望車のパンフレットに紛れて、,"Зацени. Как только мы сели на поезд, я нашел",你看，观景车的宣传册里,봐. 전망칸 전단지 사이에,
,こんなものがあったんだ。,вот это.,夹了这种东西。,이런 게 섞여 있었어.,
2ndho21,どうやら、,"Похоже, мы не единственные, кто",看来银河铁道的乘客，,아무래도 은하 철도를 이용하는,
,銀河鉄道の乗客はおれたちだけじゃないらしい。,путешествовал по Галактической Железной Дороге...,不止咱们俩啊。,승객은 우리만 있는 게 아닌 모양이야.,
2ndho22,最近、ここで誰かが移動したってことか？,"То есть, кто-то ещё был на борту прямо",这是说，最近有人用这个移动过？,누가 최근에 이걸 타고 다녔단 말이야?,
,,перед нами?,,,
2ndho23,そうだな。しかも、,"Похоже на то. Но кто бы это ни был, он подчистую стёр",是啊。而且这个人，,"맞아, 그리고 말인데,",
,,журналы доступа...,,,
,その「誰か」はアクセスログや移動記録を完璧に消している。,"доступа... Так чисто, что даже такой дока,",把访问和移动的记录都删得一干二净。,그 사람은 접속 및 이동 기록을 완벽히 지웠어.,
,おまえでも見逃すくらいに。,"как ты, ничего не заметил.",完美到连你都会看漏。,너마저도 찾지 못하게 말이야.,
2ndho24,抜け目ないハッカーだよ。,Это работа хакера. Лучшего из лучших.,真是个滴水不漏的黑客。,용의주도한 해커라는 말이지.,
2ndho25,ゼロデイ……,Это точно был Нулевой день.,零日……,Zero Day라……,
2ndho26,ここだけの話だが……,"Между нами говоря... я слышал, что",这事你别外传……,우리끼리 하는 이야기지만……,
,実は、ゼロデイは「許可外子」の集団だ。,все члены «Нулевого дня» – «неавторизованные».,其实，零日是“未许可儿童”组成的团伙。,"Zero Day는 사실 ""허가 외 아이""가 모인 집단이야.",
2ndho27,10年も前から銀河鉄道を使って、各地から,Лет десять назад они все запрыгнули на,早在十年前，他们就利用银河铁道，,10여년 전부터 은하철도를 통해 각지에서,
,同胞を惑星「モーリアン」に集めてる。,Галактическую Железную Дорогу и рванули на Моллиан.,从各地把同胞运去莫莉安星了。,"동포를 ""모리안""으로 모으고 있어.",
2ndho28,仲間にするなら、境遇が同じで、利害の一致してるやつがいい。,"Мы сейчас в той же ситуации, что и они тогда,",既然要招兵买马，最好是境遇相同、利害关系一致。,동료로 삼을 거라면 같은 처지에 처지가 같은 편이 좋지.,
,裏切られる心配がないからな！,"так что, полагаю, мы на этой почве сблизимся.",毕竟这样就不用担心同伴反水了啊！,배신당할 걱정이 없으니 말이야!,
,,Наверное.,,,
2ndho29,詳しいんだな。,"А ты много о них знаешь...",你还真了解。,잘 아네.,
,どこからそんな情報を？,Откуда ты всё это узнал?,这些你都是从哪知道的？,그 정보는 어디서 얻었어?,
2ndho30,機業秘密だ。,"А, да так. Очередной профессиональный секрет.",那就是器业机密了。,기업 비밀이야.,
2ndho31,おれを信用してないのか？,Что? Ты мне не доверяешь?,怎么，你不相信我吗？,날 못 믿겠어?,
2ndho32,……,...,……,……,
2ndho33,冗談だよ。君のことは信用してる。,"Конечно, доверяю. Я просто пошутил.",逗你的。我还是相信你的。,장난이야. 넌 믿고 있으니까.,
2ndho34,君がいなきゃ、僕は今頃死んでたわけだし。,"Будь ты на стороне Кареллен, то не стал бы",毕竟没有你的话，我现在早就死了。,네가 없었다면 지금쯤 난 죽었을 걸.,
,少なくともカレルレンの手下じゃなさそうだしね。,меня спасать. Без тебя меня бы сейчас,而且你至少不像是卡列伦的手下。,적어도 카렐렌의 하수인은 아닌 것 같고.,
,,соскребали с пола.,,,
2ndho35,……それはよかった！,"Хех... Для этого и нужны друзья!",……那就好！,……그럼 다행이고!,
2ndho36,でも、ゼロデイにどうやって接触するんだ？,Но как нам связаться с «Нулевым днем»?,不过我们要怎么接触零日的人？,"그런데, Zero Day와는 어떻게 접촉하지?",
,彼らが協力してくれる保証はないだろ？,"Не думаю, что они примут нас",他们不一定愿意帮我们啊。,저들이 협력할 거라는 보장도 없잖아?,
,,с распростертыми объятиями...,,,
2ndho37,接触はおれに任せてくれ。,Просто оставь это мне. У меня,接触的事就交给我好了。,접촉은 내게 맡겨.,
,彼らはきっとおれたちの話を聞いてくれるさ。,"такое чувство, что они отнесутся к нашему",他们肯定会听我们说的。,저들도 분명 우리 이야기를 들어줄 거야.,
,,делу с сочувствием.,,,
2ndho38,おまえが「ハンドラー」だと知れば、なおさらな。,"Особенно когда узнают, что ты Хэндлер.",等知道你是“Handler”就更没问题了。,"네가 ""핸들러""라는 걸 알면 더더욱.",
,そうだろ？　最近話題の凄腕ハッカー君！,"Ты отлично впишешься,",对吧？你可是最近引发圈内热议的大神啊！,그렇지 않겠어? 요즘 장안의 화제이신 뛰어난 해커 씨!,
,,Мистер Мститель Дарквеба!,,,
2ndho39,……仲間、ね……,"Не знаю, будет ли это так просто...",……同伙……,……동료라……,
2ndho40,これから向かう惑星って……どこだっけ。,"А что вообще за планета этот Моллиан?",我们接下来……要去哪个星球来着？,곧 도착할 행성이…… 어디랬지?,
2ndho41,惑星モーリアン。イグニウムの原産星で、,Планета Моллиан — наш основной источник игниума.,莫莉安星。是伊格尼姆的原产地，,"모리안 행성이야. 이그늄의 원산지로,",
,現存する宇宙最古の人域だ。,"А ещё это старейшая обитаемая планета.",也是宇宙现存最古老的人域。,오랜 역사를 지닌 인간 거주 행성이지.,
2ndho42,イグニウム……,Игниум...,伊格尼姆……,이그늄……,
2ndho43,原産って……あれの？,Его и вправду добывают на Моллиане?,那玩意的……原产地？,그 이그늄의.…… 원산지라고?,
,人が住んで平気なのか？,"Звучит не очень-то безопасно для жизни рядом...",那种地方真的能住人吗？,거기서 살아도 괜찮은 거 맞아?,
2ndho44,もし、爆発したら……,Если... Если он взорвется...,万一爆炸了……,만약 폭발하기라도 하면……,
2ndho45,爆発したら……終わりだ。星ごと。,Верно. Вся планета взлетит на воздух.,爆炸了……就拜拜了。连带整个星球一起。,폭발하면...... 행성이 통째로 날아가겠지.,
2ndho46,それでも……人域として2000年間、存在し続けている。,Но человечество как-то умудряется выживать там,即便如此……它还是有惊无险，存在了两千年。,"그래도...... 2,000년 동안 계속 존속해 온 곳이야.",
,奇跡のような惑星だ。なんせ……,"целых 2000 лет... Вот уж чудеса, а?",简直是个奇迹。不过嘛……,기적 같은 행성이지. 왜냐면……,
2ndho47,おれの、憧れの人が見つけた星だからな。,"Всё благодаря герою, который её открыл.",毕竟是我崇拜的人找到的星星啊。,내가 동경하던 사람이 발견한 곳이니까.,
2ndho48,……憧れの人？,...И кто же это?,……崇拜的人？,……동경하던 사람?,
2ndho49,モーリィ・リース。,Молли Райсс. Она главная шишка,莫莉·莉斯。,몰리 리스.,
,彼女は、惑星モーリアンの現行管理者で……,на планете Моллиан. И первый космический,她既是莫莉安星的现任管理者……,현 모리안 행성 관리자이자......,
,最古の＂宇宙開拓者＂でもある。,первопроходец в истории человечества.,也是资历最老的“太空开拓者”。,"가장 오래된 ""우주 개척자""지.",
