アニメID,ループするか,以降、画像ファイル名とフレーム数を２行に分けて記入。右列に向かって繰り返し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ウェイト基本,4,ウェイト短い,2,ウェイト長い,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1通常1,FALSE,train_Cam_1,train_Cam_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1通常1,FALSE,train_Gio_1,train_Gio_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1通常1会話1,FALSE,train_Gio_1,train_Gio_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1通常1会話1,FALSE,train_Cam_1,train_c_1_01,train_Cam_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1乗り出し1,FALSE,train_Gio_1,train_g_1_01,train_g_1_01,train_g_1_02,SE[fall-down_Onjin],train_Gio_2_lip_01,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1頭抱え1,FALSE,train_Gio_2,train_Gio_2_lip_01,train_Gio_2_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3,train_Gio_3_lip_01,train_Gio_3_lip_02,train_Gio_3_lip_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
