翻訳ID,日本語,英語,中国語（簡体字）,韓国語,備考
▼2-01a　DAY2／銀河鉄道車内,,,,,
2ndho1,……びっくりした。なんの音？,Whoa! What was that noise?,……吓我一大跳。刚才什么动静？,"……깜짝 놀랐네, 무슨 소리지?",
2ndho2,……なにこれ？,...Huh?,……这什么啊？,……이건 뭐지?,
2ndho3,おはようジョバンニ！,"Mornin', Gio!",早啊，乔班尼！,"조반니, 좋은 아침!",
,古代の寝台はどうだった？　解放感あっただろ？,How'd you like sleeping in an old-school bed?,古代的床铺怎么样？睡起来很惬意吧？,옛 침대는 어때? 해방감을 느끼지 않았어?,
2ndho4,棺桶みたいで快適だったよ。,It was like a coffin...but in a good way. Cozy.,跟棺材一样，躺着很舒服。,관 같아서 쾌적하던걸.,
,監視装置がないのも久しぶりだったし。,"Plus, it felt nice not being watched for once.",我也很久没睡过没监控的床了。,감시 장치가 없는 것도 오랜만이었고.,
2ndho5,昨日のことがなければ、,"If things hadn't been so messed up lately,",要是没有昨天那档事，,어제 일만 없었다면,
,もっと快眠だったんだけど。,I probably would've slept a lot better...,这觉还能睡得更舒服点。,더 푹 잘 수 있었겠지만.,
▼2-01b　DAY2／銀河鉄道車内,,,,,
2ndho10,ずいぶんご機嫌だね。,You seem to be in a good mood today.,你心情很好嘛。,기분 좋아 보이네.,
,昨日のアレには凹んでたのに。,Especially after how down you were yesterday.,明明昨天被那东西搞得那么颓。,어제는 그걸 보고 잔뜩 쫄았으면서.,
2ndho11,アレ？　あの「子供だまし」か。,"Oh, you mean 'cause of that fake mommy trap?",什么东西？哦，那个“骗小孩的玩意”？,"그거라니? 아, ""눈속임"" 말이구나.",
,焦ったけど、引きずるほどじゃないさ。,"I'll admit it, I was worried...just for a second.",我一时是有点着急，但很快就过去了。,"당황했지만, 담아둘 정도는 아니야.",
2ndho12,おれは、おまえがカレルレンの罠に引っ掛からなくて安心したよ！,But I'm impressed that you didn't fall for it.,看到你没中卡列伦的奸计我就放心啦！,네가 카렐렌의 함정에 걸려들지 않아서 마음이 놓였어!,
,その調子で切り替えていこうぜ！,"Anyway... No sense in moping around, right?",继续保持这样，转换心态吧！,이 기세로 바꿔 나가자고!,
2ndho13,おめでとう！,"Be proud, Gio! You made it onto the purge list",还要恭喜你啊，乔班尼！,축하해!,
,これで名実ともに「駆除対象」デビューだな！,with the rest of us outlaws and undesirables!,往后你就是名副其实的“驱除对象”喽！,"이걸로 ""제거 대상""에 확실하게 데뷔했잖아!",
2ndho14,……これからどうしよう。,What are we gonna do now...?,……今后我该怎么办啊。,……앞으로 어쩌지?,
2ndho15,仲間を探すといいんじゃないか？,Simple! We just have to find strength in numbers.,给自己找点同伙不就好了？,동료를 찾는 건 어때?,
2ndho16,「駆除対象」仲間だよ。わかるだろ？,So we're gonna look for the other undesirables.,就是同为“驱除对象”的人。,"같은 ""제거 대상"" 동료 말이야. 알지?",
,この星系のどこかにいる――,We just need to find where they're hiding out.,你知道吧？他们就躲在这个星系里。,이 성계 어딘가에 존재하는…,
2ndho17,「許可外子」……,"You mean...the ""unauthorized birthers""?",“未许可儿童”……,허가 외 아이……,
2ndho18,これから向かう惑星に、ちょうどいいやつらがいる。,Yup. And Mollian has just the people who can help.,我们接下来要去的星球，正好有一帮那样的家伙。,곧 도착할 행성에 딱 괜찮은 녀석들이 있어.,
2ndho19,ハッカー集団「ゼロデイ」。,"The legendary hacking group, Zero Day.",黑客组织“零日”。,"해커 집단, ""Zero Day"" 말이야.",
,同業なら、名前くらい聞いたことあるだろ？,"I'm sure you've heard of them, right?",既然是同行，你至少听过他们的名头吧？,"그쪽 사람이니, 이름 정도는 들어봤겠지?",
2ndho21-1,見ろよ。展望車のパンフレットに紛れて、,"Check it out. Once we got on the train, I found",你看，观景车的宣传册里,봐. 전망칸 전단지 사이에,
,こんなものがあったんだ。,this inside of a pamphlet.,夹了这种东西。,이런 게 섞여 있었어.,
2ndho21,どうやら、,Looks like we aren't the only ones who've been,看来银河铁道的乘客，,아무래도 은하 철도를 이용하는,
,銀河鉄道の乗客はおれたちだけじゃないらしい。,traveling on the Galactic Railroad...,不止咱们俩啊。,승객은 우리만 있는 게 아닌 모양이야.,
2ndho22,最近、ここで誰かが移動したってことか？,You mean someone else was on board just before us?,这是说，最近有人用这个移动过？,누가 최근에 이걸 타고 다녔단 말이야?,
2ndho23,そうだな。しかも、,Seems like it. But whoever it was wiped the access,是啊。而且这个人，,"맞아, 그리고 말인데,",
,その「誰か」はアクセスログや移動記録を完璧に消している。,logs clean... So clean that even someone as sharp,把访问和移动的记录都删得一干二净。,그 사람은 접속 및 이동 기록을 완벽히 지웠어.,
,おまえでも見逃すくらいに。,as you didn't notice.,完美到连你都会看漏。,너마저도 찾지 못하게 말이야.,
2ndho24,抜け目ないハッカーだよ。,It was the work of a hacker. The best of the best.,真是个滴水不漏的黑客。,용의주도한 해커라는 말이지.,
2ndho25,ゼロデイ……,It had to be Zero Day.,零日……,Zero Day라……,
2ndho26,ここだけの話だが……,Just between you and me... I heard that,这事你别外传……,우리끼리 하는 이야기지만……,
,実は、ゼロデイは「許可外子」の集団だ。,"Zero Day's members are all ""unauthorized.""",其实，零日是“未许可儿童”组成的团伙。,"Zero Day는 사실 ""허가 외 아이""가 모인 집단이야.",
2ndho27,10年も前から銀河鉄道を使って、各地から,"About ten years ago, they all hopped on the",早在十年前，他们就利用银河铁道，,10여년 전부터 은하철도를 통해 각지에서,
,同胞を惑星「モーリアン」に集めてる。,Galactic Railroad and made a break for Mollian.,从各地把同胞运去莫莉安星了。,"동포를 ""모리안""으로 모으고 있어.",
2ndho28,仲間にするなら、境遇が同じで、利害の一致してるやつがいい。,"We're in the same situation they were back then,",既然要招兵买马，最好是境遇相同、利害关系一致。,동료로 삼을 거라면 같은 처지에 처지가 같은 편이 좋지.,
,裏切られる心配がないからな！,so I'm guessing we can bond over that. Probably.,毕竟这样就不用担心同伴反水了啊！,배신당할 걱정이 없으니 말이야!,
2ndho29,詳しいんだな。,You sure know a lot about them...,你还真了解。,잘 아네.,
,どこからそんな情報を？,Where'd you learn all that?,这些你都是从哪知道的？,그 정보는 어디서 얻었어?,
2ndho30,機業秘密だ。,"Oh, y'know. Just another trade secret.",那就是器业机密了。,기업 비밀이야.,
2ndho31,おれを信用してないのか？,What? Don't you trust me?,怎么，你不相信我吗？,날 못 믿겠어?,
2ndho32,……,...,……,……,
2ndho33,冗談だよ。君のことは信用してる。,Of course I do. I was just kidding.,逗你的。我还是相信你的。,장난이야. 넌 믿고 있으니까.,
2ndho34,君がいなきゃ、僕は今頃死んでたわけだし。,Someone on Karellen's side wouldn't have saved me.,毕竟没有你的话，我现在早就死了。,네가 없었다면 지금쯤 난 죽었을 걸.,
,少なくともカレルレンの手下じゃなさそうだしね。,"Without you, they'd be scraping me off the floor.",而且你至少不像是卡列伦的手下。,적어도 카렐렌의 하수인은 아닌 것 같고.,
2ndho35,……それはよかった！,"Heh... What are friends for, right?",……那就好！,……그럼 다행이고!,
2ndho36,でも、ゼロデイにどうやって接触するんだ？,But how are we supposed to contact Zero Day?,不过我们要怎么接触零日的人？,"그런데, Zero Day와는 어떻게 접촉하지?",
,彼らが協力してくれる保証はないだろ？,I don't think they'll welcome us with open arms...,他们不一定愿意帮我们啊。,저들이 협력할 거라는 보장도 없잖아?,
2ndho37,接触はおれに任せてくれ。,Just leave the smooth-talking to me. I have,接触的事就交给我好了。,접촉은 내게 맡겨.,
,彼らはきっとおれたちの話を聞いてくれるさ。,a feeling they'll be sympathetic to our cause.,他们肯定会听我们说的。,저들도 분명 우리 이야기를 들어줄 거야.,
